"ProjectTitle","Project Abstract","OutputTitle","OutputBiblio","OutputYear","ProjectRDC","Keywords","Authors","Year","DOI"
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Entry, Expansion, and Intensity in the U.S. Export Boom, 1987-1992","Bernard, A.B. and Jensen, J.B. (2004), Entry, Expansion, and Intensity in the US Export Boom, 1987–1992. Review of International Economics, 12: 662-675. https://doi.org/10.1111/j.1467-9396.2004.00473.x","2004","Boston",NA,"Bernard, A.B. and Jensen, J.B.","2004","10.1111/j.1467-9396.2004.00473.x"
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Product Choice and Product Switching","Bernard, Andrew B., Stephen Redding and Peter K. Schott. (2003) ‘Product Choice and Product Switching’. NBER Working Paper #9789.","2003","Boston",NA,"Bernard, Andrew B., Stephen Redding and Peter K. Schott.","2003",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Plants and Productivity in International Trade","Bernard, Andrew, B., Jonathan Eaton, J. Bradford Jensen, and Samuel Kortum. 2003. ""Plants and Productivity in International Trade."" American Economic Review, 93 (4): 1268-1290. DOI: 10.1257/000282803769206296","2003","Boston",NA,"Bernard, Andrew, B., Jonathan Eaton, J. Bradford Jensen, and Samuel Kortum.","2003","10.1257/000282803769206296"
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Why Some Firms Export","Bernard, Andrew B., J. Bradford Jensen. Review of Economics and Statistics (2004) 86 (2): 561–569.
https://doi.org/10.1162/003465304323031111","2004","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen. Review of Economics and Statistics","2004","10.1162/003465304323031111"
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","The Deaths of Manufacturing Plants","Bernard, Andrew B. and J. Bradford Jensen. “The Deaths of Manufacturing Plants,” National Bureau of Economic Research Working Paper Number 9026, 2002.","2002","Boston",NA,"Bernard, Andrew B. and J. Bradford Jensen. “The Deaths of Manufacturing Plants,” National Bureau of Economic Research Working Paper Number","9026",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Facing The Dragon: Prospects For US Manufacturers in the Coming Decade","Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott. (2004) ‘Facing The Dragon: Prospects For US Manufacturers in the Coming Decade’. Tuck School of Business mimeo.","2004","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott.","2004",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods","Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott. (2009) ‘Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods’. In Timothy Dunne, J. Bradford Jensen, and Mark J. Roberts, eds., Producer Dynamics: New Evidence from Micro Data. University of Chicago Press.","2009","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott.","2009",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods","Andrew B. Bernard & J. Bradford Jensen & Peter K. Schott, 2005. ""Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods,"" Working Paper Series WP05-10, Peterson Institute for International Economics.","2005","Boston",NA,"Andrew B. Bernard & J. Bradford Jensen & Peter K. Schott,","2005",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods","Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott. (2005) ‘Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods’. NBER Working Paper 11404.","2005","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott.","2005",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Trade Costs, Firms and Productivity","Bernard, Andrew B. & Jensen, J. Bradford & Schott, Peter K., 2006. ""Trade costs, firms and productivity,"" Journal of Monetary Economics, Elsevier, vol. 53(5), pages 917-937, July.","2006","Boston",NA,"Bernard, Andrew B. & Jensen, J. Bradford & Schott, Peter K.,","2006",NA
