title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms
The Opportunities and Challenges of Using Administrative Data Linkages to Evaluate Mobility,https://doi.org/10.1177/0002716214552780,"Since Alan Krueger’s christening of the Great Gatsby curve, there has been increased attention given to the relationship between inequality and intergenerational social mobility in the United States. Studying intergenerational mobility (IGM) requires longitudinal data across large spans of time as well as the ability to follow parents and children over multiple generations. Few longitudinal datasets meet this need. This article surveys available data and the current and potential issues surrounding the use of administrative records to vastly extend the study of IGM. First, we describe the U.S. Census Bureau’s current uses of administrative records in the linkage of households across household surveys such as the Current Population Survey (CPS), American Community Survey (ACS), Survey of Income and Program Participation (SIPP), and the decennial censuses. Then, we describe the possibilities of creating additional parent-child linkages using the SIPP linked to decennial censuses and the ACS. Last, we outline our model to create linkages across earlier census data (e.g., 1980 and 1990) and contemporary surveys.",2014,12/10/2014,24,David Johnson; Catherine Massey; Amy O’Hara,,"Intergenerational and Educational Inequality Studies; demographic modeling and climate adaptation; Urban, Neighborhood, and Segregation Studies",The Annals of the American Academy of Political and Social Science,article,Amy B O'Hara,https://openalex.org/A5010637520,American Community Survey; BOC Best Race and Ethnicity Admin Records Modified,American Community Survey
Development of a multidimensional housing and environmental quality index (HEQI): application to the American Housing Survey,https://doi.org/10.1186/s12940-022-00866-8,"Abstract Background Substandard housing conditions and hazardous indoor environmental exposures contribute to significant morbidity and mortality worldwide. Housing indices that capture the multiple dimensions of healthy housing are important for tracking conditions and identifying vulnerable households. However, most indices focus on physical deficiencies and repair costs and omit indoor environmental exposures, as few national data sources routinely collect this information. Methods We developed a multidimensional Housing and Environmental Quality Index (HEQI) based on the World Health Organization’s Housing and Health Guidelines and applied it to the 2019 American Housing Survey (AHS). The HEQI consisted of ten domains associated with poor health: household fuel combustion, dampness and mold, pests and allergens, lead paint risk, high indoor temperatures, low indoor temperatures, household crowding, injury hazards, inadequate water and sanitation, and ventilation. We evaluated the validity and performance of the HEQI against three housing characteristics (i.e., year built, monthly rent costs, unit satisfaction rating) and two established indices (i.e., Adequacy Index, Poor Quality Index). Results Approximately 79% (92 million) of U.S. households reported at least one HEQI domain associated with poor health (mean per household: 1.3; range: 0,8). Prevalent domains included household fuel combustion (61.4%), dampness and mold (15.9%), inadequate water and sanitation (14.3%), and injury hazards (11.9%). Pests and allergens, low indoor temperatures, and injury hazards were consistently associated with older homes, lower rent costs, and lower unit satisfaction. Compared to established housing indices, the HEQI captured four new environmental domains which enabled the identification of 57.7 million (63%) more households with environmental risk factors like mold, cockroaches, crowding, household fuel combustion, and higher building leakage. Conclusions Indoor environmental exposures are prevalent in U.S. households and not well-captured by existing housing indices. The HEQI is a multidimensional tool that can be used to monitor indoor environmental exposures and housing quality trends in the U.S. Some domains, including radon, pesticides, asbestos, noise, and housing accessibility could not be assessed due to the lack of available data in the AHS. The mounting evidence linking residential environmental exposures with adverse health outcomes underscore the need for this data in the AHS and other national surveys.",2022,5/24/2022,18,MyDzung T. Chu; Andrew Fenelon; Judith Rodrıguez; Ami R. Zota; Gary Adamkiewicz,George Washington University; Milken Institute; Pennsylvania State University; Harvard University; George Washington University; Milken Institute; Harvard University,Noise Effects and Management; Indoor Air Quality and Microbial Exposure; Air Quality and Health Impacts,Environmental Health,article,Andrew Fenelon,https://openalex.org/A5021437833,American Housing Survey,American Housing Survey
Development of a Multidimensional Housing and Environmental Quality Index (HEQI): Application to the American Housing Survey,https://doi.org/10.21203/rs.3.rs-1342732/v1,"Abstract Background : Substandard housing conditions and hazardous environmental exposures indoors contribute to significant morbidity and mortality worldwide. Housing indices that capture the multiple dimensions of healthy housing are important for tracking conditions over time and identifying vulnerable households. However, most indices focus on physical deficiencies and repair costs and omit indoor environmental exposures, as few data sources routinely collect this data at the national level. Methods : We developed a national, multidimensional Housing and Environmental Quality Index (HEQI) based on the World Health Organization’s Housing and Health Guidelines and applied it to the national American Housing Survey (AHS) 2019 data. The HEQI consisted of ten domains associated with poor health: indoor combustion sources, dampness and mold, pests and allergens, lead paint risk, high indoor temperatures, low indoor temperatures, household crowding, injury hazards, inadequate water and sanitation, and ventilation. We evaluated the validity and performance of the HEQI against three housing characteristics (i.e., year built, monthly rent costs, unit satisfaction rating) and two established indices (i.e., Adequacy index, Poor Quality Index). Results : Approximately 79% (92 million) of U.S. households reported at least one HEQI risk factor (mean per household: 1.5; range: 0,19). Common risk factors included indoor combustion sources (e.g. gas stoves, fireplaces) (62.0%), dampness and mold (15.4%), inadequate water and sanitation (11.7%), and injury hazards (11.6%). Prevalence of pest and allergens, low indoor temperature, and injury hazards were associated with older housing, lower rent costs, and worse unit satisfaction. Compared to established housing indices, the HEQI captured four new environmental domains and at least 62% (57.7 million) more households with environmental risk factors like mold, cockroaches, crowding, indoor combustion sources, and higher building leakage. Conclusions : Indoor environmental exposures are prevalent in U.S. households and not well-captured by established housing indices. The HEQI is a national, multidimensional tool that can be used to monitor indoor environmental exposures and housing quality trends in the U.S. The mounting evidence linking residential environmental exposures with adverse health outcomes underscore the need for this data in the AHS and other national surveys.",2022,2/11/2022,0,MyDzung T. Chu; Andrew Fenelon; Judith Rodrıguez; Ami R. Zota; Gary Adamkiewicz,George Washington University; Milken Institute; Faculty of Design; Harvard University; Pennsylvania State University; Tufts Medical Center; Pennsylvania State University; Milken Institute; George Washington University; Tufts Medical Center; Faculty of Design; Harvard University; Faculty of Design; Harvard University; Milken Institute; George Washington University; Tufts Medical Center; Pennsylvania State University; Milken Institute; George Washington University; Tufts Medical Center; Faculty of Design; Harvard University; Pennsylvania State University; Harvard University; Pennsylvania State University; George Washington University; Faculty of Design; Milken Institute; Tufts Medical Center,Air Quality and Health Impacts; Urban Green Space and Health; Noise Effects and Management,Research Square (Research Square),preprint,Andrew Fenelon,https://openalex.org/A5021437833,American Housing Survey,American Housing Survey
Small-area estimates from consumer trace data,https://doi.org/10.4054/demres.2022.47.27,"Timely, accurate, and precise demographic estimates at various levels of geography are crucial for planning, policymaking, and analysis. In the United States, data from the decennial census and annual American Community Survey (ACS) serve as the main sourc",2022,12/6/2022,6,Arthur Acolin; Ari Decter-Frain; Matt Hall,,"Urban Transport and Accessibility; Migration, Aging, and Tourism Studies; Urban, Neighborhood, and Segregation Studies",Demographic Research,article,Arthur Acolin,https://openalex.org/A5050674160,American Community Survey (ACS) and Linked HUD-Subsidized Administrative data; American Community Survey,American Community Survey
Toward a Cross-Platform Framework: Assessing the Comprehensiveness of Online Rental Listings.,,"Research on rental housing markets in the United States has traditionally relied on national or local housing surveys. Those sources lack temporal and spatial specificity, limiting their use for tracking short-term changes in local markets. As rental housing ads have transitioned to digital spaces, a growing body of literature has utilized web scraping to analyze listing practices and variations in rental market dynamics. Those studies have primarily relied on one platform, Craigslist, as a source of data. Despite Craigslist's popularity, the authors contend that rental listings from various websites, rather than from individual ones, provide a more comprehensive picture. Using a mixed-methods approach to study listings across various platforms in five metropolitan areas, this article demonstrates considerable variation in both the types of rental units advertised and the features provided across those platforms. The article begins with an account of the birth and consolidation of online rental platforms and emergent characteristics of several selected websites, including the criteria for posting, search parameters, search results priority, and first-page search results. Visualizations are used to compare features such as the 40th percentile of rent, rent distribution, and bedroom size based on scraped data from six online platforms (Padmapper, Forrent.com, Trulia, Zillow, Craigslist, and GoSection8), 2020 Fair Market Rents, and 2019 American Community Survey data. The analyses indicate that online listing platforms target different audiences and offer distinct information on units within those market segments, resulting in markedly different estimates of local rental costs and unit size distribution depending on the platform.",2021,1/1/2021,4,Ana Vitória Monteiro Costa; Victoria Sass; Ian Kennedy; Roshni Roy; Rebecca J. Walter; Arthur Acolin; Kyle Crowder; Chris Hess; Alex Ramiller; Sarah Chasins,"University of Washington; University of Washington; University of Washington; University of Washington; University of Washington; University of Washington; University of Washington; Cornell University; University of California, Berkeley; University of California, Berkeley",Housing Market and Economics; Sharing Economy and Platforms,PubMed,article,Arthur Acolin,https://openalex.org/A5050674160,American Community Survey (ACS) and Linked HUD-Subsidized Administrative data; American Community Survey,American Community Survey
Small-area estimates from consumer trace data,https://doi.org/10.4054/demres.2022.47.27,"Timely, accurate, and precise demographic estimates at various levels of geography are crucial for planning, policymaking, and analysis. In the United States, data from the decennial census and annual American Community Survey (ACS) serve as the main sourc",2022,12/6/2022,6,Arthur Acolin; Ari Decter-Frain; Matt Hall,,"Urban Transport and Accessibility; Migration, Aging, and Tourism Studies; Urban, Neighborhood, and Segregation Studies",Demographic Research,article,Arthur Acolin,https://openalex.org/A5050674160,HUD PIC and TRACS Longitudinal; Decennial Census; BOC PIK Crosswalk Census Unedited File (CUF),Decennial Census
Do state Supplemental Nutrition Assistance Program policies influence program participation among seniors?,https://doi.org/10.1002/aepp.13231,"Abstract Senior participation in the Supplemental Nutrition Assistance Program (SNAP) has traditionally been lower than other groups among those eligible, with historical estimates below 50%. We examine the impacts of state SNAP policies on program participation among low‐income senior (age 60 and older) and nonsenior households using data from the 2001 to 2014 December Current Population Survey Food Security Supplement. Our results suggest that policies designed to expand SNAP eligibility modestly increased participation among seniors but led to larger increases among nonseniors. In contrast, we find little evidence of effects of policies related to transaction costs, stigma, or outreach on either group.",2022,2/3/2022,16,Jordan W. Jones; Charles Courtemanche; Augustine Denteh; James Marton; Rusty Tchernis,Economic Research Service; University of Kentucky; IZA - Institute of Labor Economics; Tulane University; Georgia State University; Georgia State University,"Food Security and Health in Diverse Populations; Gender, Labor, and Family Dynamics; Health disparities and outcomes",Applied Economic Perspectives and Policy,article,Augustine Denteh,https://openalex.org/A5053624612,State - SNAP and TANF - Connecticut; Current Population Survey Food Security Supplement,Current Population Survey Food Security Supplement
Do State SNAP Policies Influence Program Participation Among Seniors?,https://doi.org/10.2139/ssrn.3892592,"Senior participation in the Supplemental Nutrition Assistance Program (SNAP) has traditionally been lower than other groups among those eligible, with historical estimates below 50 percent. We examine the impacts of state SNAP policies on program participation among low-income senior (age 60 and older) and non-senior households using data from the 2001-2014 December Current Population Survey Food Security Supplement. Our results suggest that policies designed to expand SNAP eligibility modestly increased participation among seniors but led to larger increases among non-seniors. In contrast, we find little evidence of effects of policies related to transaction costs, stigma, or outreach on either group.",2021,1/1/2021,1,Jordan W. Jones; Charles Courtemanche; Augustine Denteh; James Marton; Rusty Tchernis,Economic Research Service; University of North Carolina at Greensboro; Georgia State University; Harvard University; Georgia State University; IZA - Institute of Labor Economics; National Bureau of Economic Research; Georgia State University,"Retirement, Disability, and Employment; Intergenerational Family Dynamics and Caregiving; Financial Literacy, Pension, Retirement Analysis",SSRN Electronic Journal,article,Augustine Denteh,https://openalex.org/A5053624612,State - SNAP and TANF - Connecticut; Current Population Survey Food Security Supplement,Current Population Survey Food Security Supplement
Do State Snap Policies Influence Program Participation Among Seniors?,https://doi.org/10.2139/ssrn.3889144,"Senior participation in the Supplemental Nutrition Assistance Program (SNAP) has traditionally been lower than other groups among those eligible, with historical estimates below 50 percent. We examine the impacts of state SNAP policies on program participation among low-income senior (age 60 and older) and non-senior households using data from the 2001-2014 December Current Population Survey Food Security Supplement. Our results suggest that policies designed to expand SNAP eligibility modestly increased participation among seniors but led to larger increases among non-seniors. In contrast, we find little evidence of effects of policies related to transaction costs, stigma, or outreach on either group.Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at www.nber.org.",2021,1/1/2021,0,Jordan W. Jones; Charles Courtemanche; Augustine Denteh; James Marton; Rusty Tchernis,Economic Research Service; University of Kentucky; Tulane University; Georgia State University; National Bureau of Economic Research; IZA - Institute of Labor Economics; Georgia State University,"Food Security and Health in Diverse Populations; Poverty, Education, and Child Welfare; Child Nutrition and Water Access",SSRN Electronic Journal,article,Augustine Denteh,https://openalex.org/A5053624612,State - SNAP and TANF - Connecticut; Current Population Survey Food Security Supplement,Current Population Survey Food Security Supplement
Do State SNAP Policies Influence Program Participation among Seniors?,https://doi.org/10.3386/w29037,"Senior participation in the Supplemental Nutrition Assistance Program (SNAP) has traditionally been lower than other groups among those eligible, with historical estimates below 50 percent.We examine the impacts of state SNAP policies on program participation among low-income senior (age 60 and older) and non-senior households using data from the 2001-2014 December Current Population Survey Food Security Supplement.Our results suggest that policies designed to expand SNAP eligibility modestly increased participation among seniors but led to larger increases among non-seniors.In contrast, we find little evidence of effects of policies related to transaction costs, stigma, or outreach on either group.",2021,7/1/2021,2,Jordan T. Jones; Charles Courtemanche; Augustine Denteh; James Marton; Rusty Tchernis,Georgia State University; Tulane University; National Bureau of Economic Research; University of Kentucky; Economic Research Service; Georgia State University; National Bureau of Economic Research; University of Kentucky; Tulane University; Economic Research Service; Tulane University; Georgia State University; National Bureau of Economic Research; University of Kentucky; Economic Research Service; Economic Research Service; Georgia State University; Tulane University; National Bureau of Economic Research; University of Kentucky; Georgia State University; National Bureau of Economic Research; Tulane University; University of Kentucky; Economic Research Service,"Food Security and Health in Diverse Populations; Homelessness and Social Issues; Gender, Labor, and Family Dynamics",,preprint,Augustine Denteh,https://openalex.org/A5053624612,State - SNAP and TANF - Connecticut; Current Population Survey Food Security Supplement,Current Population Survey Food Security Supplement
