title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms,location,best_match_idx,best_match_title,best_match_score
Task Trade and the Wage Effects of Import Competition,https://doi.org/10.2139/ssrn.2714864,"Do job characteristics modulate the relationship between import competition and the wages of workers who perform those jobs? This paper tests the claim that workers in occupations featuring highly routine tasks will be more vulnerable to low-wage country import competition. Using data from the US Census Bureau, we construct a pooled cross-section (1990, 2000, and 2007) of more than 1.6 million individuals linked to the establishment in which they work. Occupational measures of vulnerability to trade competition – routineness, analytic complexity, and interpersonal interaction on the job – are constructed using O*NET data. The linked employer-employee data allow us to model the effect of low-wage import competition on the wages of workers with different occupational characteristics. Our results show that low-wage country import competition is associated with lower wages for US workers holding jobs that are highly routine and less complex. For workers holding nonroutine and highly complex jobs, increased import competition is associated with higher wages. Finally, workers in occupations with the highest and lowest levels of interpersonal interaction see higher wages, while workers with medium-low levels of interpersonal interaction suffer lower wages with increased low-wage import competition. These findings demonstrate the importance of accounting for occupational characteristics to more fully understand the relationship between trade and wages, and suggest ways in which task trade vulnerable occupations can disadvantage workers even when their jobs remain onshore.",2016,2016-01-01,0,"{'David L. Rigby', 'Abigail M. Cooke', 'Thomas Kemney'}","University at Buffalo, State University of New York; University of Southampton; University of California, Los Angeles",Global trade and economics,SSRN Electronic Journal,article,Abigail M Cooke,https://openalex.org/A5072101814,LEHD Geocoded Address List (GAL) - 2008; Current Population Survey March Supplement; Census Bureau,Census Bureau,Triangle,498,Task Trade and the Wage Effects of Import Competition,100
Task Trade and the Wage Effects of Import Competition,,"Do job characteristics modulate the relationship between import competition and the wages of workers who perform those jobs? This paper tests the claim that workers in occupations featuring highly routine tasks will be more vulnerable to low-wage country import competition. Using data from the US Census Bureau, we construct a pooled cross-section (1990, 2000, and 2007) of more than 1.6 million individuals linked to the establishment in which they work. Occupational measures of vulnerability to trade competition – routineness, analytic complexity, and interpersonal interaction on the job – are constructed using O*NET data. The linked employer-employee data allow us to model the effect of low-wage import competition on the wages of workers with different occupational characteristics. Our results show that low-wage country import competition is associated with lower wages for US workers holding jobs that are highly routine and less complex. For workers holding nonroutine and highly complex jobs, increased import competition is associated with higher wages. Finally, workers in occupations with the highest and lowest levels of interpersonal interaction see higher wages, while workers with medium-low levels of interpersonal interaction suffer lower wages with increased low-wage import competition. These findings demonstrate the importance of accounting for occupational characteristics to more fully understand the relationship between trade and wages, and suggest ways in which task trade vulnerable occupations can disadvantage workers even when their jobs remain onshore.",2016,2016-01-01,0,"{'Thomas Kemeny', 'Abigail M. Cooke', 'David L. Rigby'}",,"Global trade and economics; Global trade, sustainability, and social impact",RePEc: Research Papers in Economics,preprint,Abigail M Cooke,https://openalex.org/A5072101814,LEHD Geocoded Address List (GAL) - 2008; Current Population Survey March Supplement; Census Bureau,Census Bureau,Triangle,498,Task Trade and the Wage Effects of Import Competition,100
The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery,https://doi.org/10.21144/wp24-04,"We study how random variation in the availability of highly educated, foreign-born workers impacts firm performance and recruitment behavior.We combine two rich data sources: 1) administrative employer-employee matched data from the US Census Bureau; and 2) firmlevel information on the first large-scale H-1B visa lottery in 2007.Using an event-study approach, we find that lottery wins lead to increases in firm hiring of college-educated, immigrant labor along with increases in scale and survival.These effects are stronger for small, skill-intensive, and high-productivity firms that participate in the lottery.We do not find evidence for displacement of native-born, college-educated workers at the firm level, on net.However, this result masks dynamics among more specific subgroups of incumbents that we further elucidate.",2024,2024-04-12,0,"{'Kevin Shih', 'Parag Mahajan', 'Mingyu Chen', 'Agostina Brinatti', 'Nicolas Morales'}","Queens College, CUNY; George Washington University; Bank of Canada; Federal Reserve Bank of Dallas; Federal Reserve Bank of Richmond; University of Delaware; University of Michigan–Ann Arbor; George Washington University; University of Delaware; Bank of Canada; Federal Reserve Bank of Dallas; Queens College, CUNY; Federal Reserve Bank of Richmond; University of Michigan–Ann Arbor; George Washington University; University of Michigan–Ann Arbor; University of Delaware; Bank of Canada; Federal Reserve Bank of Dallas; Queens College, CUNY; Federal Reserve Bank of Richmond; University of Michigan–Ann Arbor; George Washington University; University of Delaware; Bank of Canada; Federal Reserve Bank of Dallas; Queens College, CUNY; Federal Reserve Bank of Richmond; George Washington University; University of Michigan–Ann Arbor; University of Delaware; Bank of Canada; Federal Reserve Bank of Dallas; Queens College, CUNY; Federal Reserve Bank of Richmond","Migration and Labor Dynamics; Migration, Ethnicity, and Economy; Labor market dynamics and wage inequality",Federal Reserve Bank of Richmond Working Papers,article,Agostina Brinatti,https://openalex.org/A5000068654,Census Bureau,Census Bureau,Fed Board,1250,The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery,100
Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,https://doi.org/10.2139/ssrn.2909935,"Statistical agencies frequently publish microdata that have been altered to protect confidentiality. Such data retain utility for many types of broad analyses but can yield biased or insufficiently precise results in others. Research access to de-identified versions of the restricted-use data with little or no alteration is often possible, albeit costly and time-consuming. We investigate the advantages and disadvantages of public-use and restricted-use data from the American Community Survey (ACS) in constructing a wage index. The public-use data used were Public Use Microdata Samples, while the restricted-use data were accessed via a Federal Statistical Research Data Center. We discuss the advantages and disadvantages of each data source and compare estimated CWIs and standard errors at the state and labor market levels.",2017,2017-01-01,5,"{'Satkartar K. Kinney', 'Alan F. Karr'}",RTI International; RTI International,"Healthcare Policy and Management; Income, Poverty, and Inequality; Food Security and Health in Diverse Populations",SSRN Electronic Journal,article,Alan F Karr,https://openalex.org/A5052821984,American Community Survey; FSRDC; Census Bureau; Triangle RDC,American Community Survey,Triangle,879,Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,100
Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,,"Statistical agencies frequently publish microdata that have been altered to protect confidentiality. Such data retain utility for many types of broad analyses but can yield biased or Insufficiently precise results in others. Research access to de-identified versions of the restricted-use data with little or no alteration is often possible, albeit costly and time-consuming. We investigate the the advantages and disadvantages of public-use and restricted-use data from the American Community Survey (ACS) in constructing a wage index. The public-use data used were Public Use Microdata Samples, while the restricted-use data were accessed via a Federal Statistical Research Data Center. We discuss the advantages and disadvantages of each data source and compare estimated CWIs and standard errors at the state and labor market levels.",2017,2017-01-01,0,"{'Satkartar K. Kinney', 'Alan F. Karr'}",,"Healthcare Policy and Management; Income, Poverty, and Inequality; Food Security and Health in Diverse Populations",RePEc: Research Papers in Economics,preprint,Alan F Karr,https://openalex.org/A5052821984,American Community Survey; FSRDC; Census Bureau; Triangle RDC,American Community Survey,Triangle,879,Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,100
"Estimates of Childhood Overweight and Obesity at the Region, State, and County Levels: A Multilevel Small-Area Estimation Approach",https://doi.org/10.1093/aje/kwab176,"Local-level childhood overweight and obesity data are often used to implement and evaluate community programs, as well as allocate resources to combat overweight and obesity. The most current substate estimates of US childhood obesity use data collected in 2007. Using a spatial multilevel model and the 2016 National Survey of Children's Health, we estimated childhood overweight and obesity prevalence rates at the Census regional division, state, and county levels using small-area estimation with poststratification. A sample of 24,162 children aged 10-17 years was used to estimate a national overweight and obesity rate of 30.7% (95% confidence interval: 27.0%, 34.9%). There was substantial county-to-county variability (range, 7.0% to 80.9%), with 31 out of 3,143 counties having an overweight and obesity rate significantly different from the national rate. Estimates from counties located in the Pacific region had higher uncertainty than other regions, driven by a higher proportion of underrepresented sociodemographic groups. Child-level overweight and obesity was related to race/ethnicity, sex, parental highest education (P < 0.01 for all), county-level walkability (P = 0.03), and urban/rural designation (P = 0.02). Overweight and obesity remains a vital issue for US youth, with substantial area-level variability. The additional uncertainty for underrepresented groups shows surveys need to better target diverse samples.",2021,2021-06-10,15,"{'Charity B. Breneman', 'Andrew T. Kaczynski', 'Marilyn E. Wende', 'Angela D. Liese', 'Alexander C. McLain', 'Jan M. Eberth', 'Anja Zgodic'}",University of South Carolina; Office of Minority Health; University of South Carolina; University of South Carolina,"Obesity, Physical Activity, Diet; Urban Transport and Accessibility; Health disparities and outcomes",American Journal of Epidemiology,article,Alexander C McLain,https://openalex.org/A5051069727,FSRDC; National Survey of Children's Health; Census Bureau; Triangle RDC,National Survey of Children's Health,Triangle,1530,"Estimate of childhood overweight and obesity at the region, state and county levels: a multilevel small area estimation approach",100
The Unbundling of Advertising Agency Services: An Economic Analysis,https://doi.org/10.1515/1546-5616.1164,"Abstract We address a puzzle surrounding the shift from bundling to unbundling of U.S. advertising agency services and the slow pace of change over several decades. We model an agency’s decision as a tradeoff between the fixed cost to the advertiser of establishing a relationship with an agency and pecuniary economies of scale from media services provision. Using micro-data from the U.S. Census of Services for 1982-2007, we find agencies are more likely to unbundle with increasing size, diversification and higher media prices, and less likely with increasing age, larger media volume, and an interaction between media prices and volume.",2012,2012-12-03,8,"{'Alvin J. Silk', 'Mohammad Arzaghi', 'James C. Davis', 'Ernst R. Berndt'}",,Digital Platforms and Economics; Consumer Market Behavior and Pricing; Merger and Competition Analysis,Review of Marketing Science,article,Alvin J Silk,https://openalex.org/A5082387935,Census Bureau; Census of Services; Standard Statistical Establishment List - non Name and Address File,Census of Services,Boston,393,The Unbundling of Advertising Agency Services: An Economic Analysis,100
Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,,"In the U.S. Census of Manufactures, the Census Bureau imputes missing values using a combination of mean imputation, ratio imputation, and conditional mean imputation. It is wellknown that imputations based on these methods can result in underestimation of variability and potential bias in multivariate inferences. We show that this appears to be the case for the existing imputations in the Census of Manufactures. We then present an alternative strategy for handling the missing data based on multiple imputation. Specifically, we impute missing values via sequences of classification and regression trees, which offer a computationally straightforward and flexible approach for semi-automatic, large-scale multiple imputation. We also present an approach to evaluating these imputations based on posterior predictive checks. We use the multiple imputations, and the imputations currently employed by the Census Bureau, to estimate production function parameters and productivity dispersions. The results suggest that the two approaches provide quite different answers about productivity.",2011,2011-01-01,0,"{'Jerome P. Reiter', 'Amil Petrin', 'T. Kirk White'}",,Statistical Methods and Bayesian Inference; Economic and Environmental Valuation; Census and Population Estimation,RePEc: Research Papers in Economics,preprint,Amil K Petrin,https://openalex.org/A5015135337,Census of Manufactures; Triangle RDC; Annual Survey of Manufactures; FSRDC,Census of Manufactures,Triangle,407,Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,100
Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,,"In the U.S. Census of Manufactures, the Census Bureau imputes missing values using a combination of mean imputation, ratio imputation, and conditional mean imputation. It is wellknown that imputations based on these methods can result in underestimation of variability and potential bias in multivariate inferences. We show that this appears to be the case for the existing imputations in the Census of Manufactures. We then present an alternative strategy for handling the missing data based on multiple imputation. Specifically, we impute missing values via sequences of classification and regression trees, which offer a computationally straightforward and flexible approach for semi-automatic, large-scale multiple imputation. We also present an approach to evaluating these imputations based on posterior predictive checks. We use the multiple imputations, and the imputations currently employed by the Census Bureau, to estimate production function parameters and productivity dispersions. The results suggest that the two approaches provide quite different answers about productivity.",2011,2011-01-01,0,"{'Jerome P. Reiter', 'Amil Petrin', 'T. Kirk White'}",,Statistical Methods and Bayesian Inference; Economic and Environmental Valuation; Census and Population Estimation,RePEc: Research Papers in Economics,preprint,Amil K Petrin,https://openalex.org/A5015135337,Longitudinal Business Database - No Revenue; Census Bureau,Census Bureau,Triangle,407,Plant-Level Productivity and Imputation of Missing Data in the Census of Manufactures,100
"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",,"Using establishment-level micro data from the U.S. Census Bureau, this paper studies the impact of Chinese import penetration on firm reorganization and relocation across local labor markets. We find three main results. First, the negative effect of Chinese import penetration on local manufacturing employment documented in the existing literature is driven primarily by large, importing firms that simultaneously expand employment in non-manufacturing. A third of this negative manufacturing effect is accounted for by establishments switching their reported industry affiliation to non-manufacturing. Second, the reorganization of firm activity occurs mainly away from production of machinery, electronics, and transportation equipment towards wholesale, professional services (including R&D), and management. Together, the results are indicative of a “Silicone Valley” story of offshoring according to which firms focus U.S. activities on research, design, and distribution but produce the actual goods abroad. Third, the reorganization of firm activity occurs unevenly across local labor markets. The negative employment effects in manufacturing are concentrated in areas with below human capital (mainly the South and Mid-West) whereas most of the positive employment effects in non-manufacturing occur in areas with above average human capital (mainly the West and East coasts). This suggests one reason why the China shock polarizes politics.",2019,2019-01-01,29,"{'Kyle Handley', 'André Kurmann', 'Nicholas Bloom', 'Philip Luck'}",,"Migration, Ethnicity, and Economy; Global trade and economics; Regional Economics and Spatial Analysis",RePEc: Research Papers in Economics,preprint,Andre Kurmann,https://openalex.org/A5033795365,Survey of Plant Capacity Utilization; Service Annual Survey; Foreign Trade Data - Import; Census Bureau,Census Bureau,Michigan,824,"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",100
