title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,matched_dataset_terms,mention_restricted_data,mention_disclosure_review,mention_rdc
The Intangible Divide: Why Do So Few Firms Invest in Innovation?,https://doi.org/10.2139/ssrn.4988419,"Investments in software, R&D, and advertising have surged, nearing half of U.S. private nonresidential investment. Yet just a few hundred firms dominate this growth. Most firms, including large ones, regularly invest little in capitalized software and R&D, widening this “intangible divide” despite falling intangible prices. Using comprehensive US Census microdata, we document these patterns and explore factors associated with intangible investment. We find that firms invest significantly less in innovation-related intangibles when their rivals invest more. One firm’s investment can obsolesce rivals’ investments, reducing returns. This negative pecuniary externality worsens the intangible divide, potentially leading to significant misallocation.",2025,2024-01-01,0.0,"{'Xiupeng Wang', 'James Bessen'}",,Business; Industrial organization; Commerce,,article,James Bessen,,True,False,False
Corporate Share Repurchase Policies and Labor Share,https://doi.org/10.2139/ssrn.5066681,"Using census data, we investigate whether share repurchases are responsible for the fall in labor share in U.S. corporations. Recent legislation imposes taxes on share repurchases, motivated by the assertion that share repurchases have led to reduced labor payments. Using several empirical approaches, we find no evidence that increases in share repurchases contribute to decreases in labor share. Top share repurchasing firms since 1982 did not decrease labor share. We also rely on exogenous changes in share repurchases around EPS announcements to pinpoint causality. Policies aimed at improving labor share by discouraging share repurchases will likely not achieve their objectives.",2025,2024-01-01,0.0,"{'Lei Kong', 'Xudong Fu', 'Darren Kisgen'}",,Business; Share repurchase; Labour economics; Industrial organization; Finance; Economics; Corporate governance; Shareholder,,preprint,Xudong Fu,,True,False,False
The Effect of Oil News Shocks on Job Creation and Destruction,https://doi.org/10.1016/s0140-6736(17)32345-0,"Using data from the Annual Survey of Manufactures (ASM) and the Census of Manufacturing (CMF), we construct quarterly measures of job creation and destruction by 3-digit NAICS industries spanning from 1980Q3-2016Q4. These long series allow us to address three questions regarding the effect of oil news shocks. What is the average effect of oil news shocks on sectoral labor reallocation? What characteristics explain the observed heterogeneity in the average responses across industries? Has the response of US manufacturing changed over time? We find evidence that oil news shocks exert only a moderate effect on total manufacturing net employment growth but lead to a significant increase in job reallocation. However, we find a high degree of heterogeneity in responses across industries. We then show that the cross-industry variation in the sensitivity of net employment growth and excess job reallocation to oil news shocks is related to differences in energy costs, the rate of energy to capital expenditures, and the share of mature firms in the industry. Finally, we illustrate how the dynamic response of sectoral job creation and destruction to oil news shocks has declined since the mid-2000s.",2025,2017-10-20,4145.0,"{'Ryan Hanson', 'Ana María Herrera'}",,Environmental health; Pollution; Commission; Environmental pollution; Malaria; Environmental protection; Economic growth; Medicine; Geography; Political science; Law; Economics; Immunology; Ecology; Biology,,review,Ryan Hanson,annual survey of manufactures,True,False,False
A Granular Look into Firms’ Cash Portfolios,https://doi.org/10.1016/j.lrp.2017.06.007,"This paper uses confidential Census data to provide a granular look into the U.S. firms’ cash holding portfolios encompassing nearly four decades. The data provide information on short-term investment securities held in the portfolios, such as time deposits, commercial paper and government securities in addition to cash. The security-level information reveals that portfolios of the same size can have very different levels of liquidity and riskiness as the composition of securities varies considerably across firms and over time. Firms with strong precautionary motives tend to allocate more toward relatively more liquid and less risky securities. Firms actively rebalance their portfolios in response to changing economic conditions or idiosyncratic shocks to securities they hold. Event studies using shocks to Treasury securities and commercial paper shows firms shifting away from affected securities and simultaneously adjusting weights of other securities.",2025,2017-07-23,2023.0,{'Youngsuk Yook'},,Dynamic capabilities; Interdependence; Artifact-centric business process model; Business model; Computer science; Process management; Work (physics); Knowledge management; Business; Industrial organization; Business process; Business process modeling; Marketing; Work in process; Mechanical engineering; Engineering; Political science; Law,,article,Youngsuk Yook,,True,False,False
Places versus People: The Ins and Outs of Labor Market Adjustment to Globalization,https://doi.org/10.3386/w33424,"We analyze the distinct adjustment paths of U.S. labor markets (places) and U.S. workers (people) to increased Chinese import competition during the 2000s. Using comprehensive register data for 2000–2019, we document that employment levels more than fully rebound in trade-exposed places after 2010, while employment-to-population ratios remain depressed and manufacturing employment further atrophies. The adjustment of places to trade shocks is generational: affected areas recover primarily by adding workers to non-manufacturing who were below working age when the shock occurred. Entrants are disproportionately native-born Hispanics, foreign-born immigrants, women, and the college-educated, who find employment in relatively low-wage service sectors like medical services, education, retail, and hospitality. Using the panel structure of the employer-employee data, we decompose changes in the employment composition of places into trade-induced shifts in the gross flows of people across sectors, locations, and non-employment status. Contrary to standard models, trade shocks reduce geographic mobility, with both in- and out-migration remaining depressed through 2019. The employment recovery instead stems almost entirely from young adults and foreign-born immigrants taking their first U.S. jobs in affected areas, with minimal contributions from cross-sector transitions of former manufacturing workers. Although worker inflows into non-manufacturing more than fully offset manufacturing employment losses in trade-exposed locations after 2010, incumbent workers neither fully recover earnings losses nor predominately exit the labor market, but rather age in place as communities undergo rapid demographic and industrial transitions.",2024,2025-01-01,0.0,"{'David  Autor', 'David Dorn', 'Bradley Setzler', 'David  Dorn', 'Gordon Hanson', 'Gordon  Hanson', 'David Autor', 'Maggie R. Jones'}",,Globalization; Labour economics; Economic geography; Economics; Business; Market economy,,report,Bradley Setzler,,True,False,False
"CTC and ACTC Participation Results and IRS-Census Match Methodology, Tax Year 2020",https://doi.org/10.3982/ecta19921,"The Child Tax Credit (CTC) and Additional Child Tax Credit (ACTC) offer assistance to help ease the financial burden of families with children. This paper provides taxpayer and dollar participation estimates for the CTC and ACTC covering tax year 2020. The estimates derive from an approach that relies on linking the 2021 Current Population Survey Annual Social and Economic Supplement (CPS ASEC) to IRS administrative data. This approach, called the Exact Match, uses survey data to identify CTC/ACTC eligible taxpayers and IRS administrative data to indicate which eligible taxpayers claimed and received the credit. Overall in tax year 2020, eligible taxpayers participated in the CTC and ACTC program at a rate of 93 percent while dollar participation was 91 percent.",2024,2023-01-01,19.0,"{'Krishnan Patel', 'Charles Hokayem', 'Ciyata Coleman', 'Sanghun (Eric) Kim', 'Dean Plueger', 'Ethan Krohn'}",,Redistribution (election); Welfare; Economics; Revenue; Productivity; Population; Demographic economics; Labour economics; Public economics; Tax revenue; Economic growth; Finance; Market economy; Demography; Sociology; Politics; Political science; Law,,article,Charles Hokayem,current population survey,True,False,False
"EITC Participation Results and IRS-Census Match Methodology, Tax Year 2021",https://doi.org/10.3386/w29366,"The Earned Income Tax Credit (EITC), enacted in 1975, offers a refundable tax credit to low income working families. This paper provides taxpayer and dollar participation estimates for the EITC covering tax year 2021. The estimates derive from an approach that relies on linking the 2022 Current Population Survey Annual Social and Economic Supplement (CPS ASEC) to IRS administrative data. This approach, called the Exact Match, uses survey data to identify EITC eligible taxpayers and IRS administrative data to indicate which eligible taxpayers claimed and received the credit. Overall in tax year 2021 eligible taxpayers participated in the EITC program at a rate of 78 percent while dollar participation was 81 percent.",2024,2021-10-01,17.0,"{'Krishnan Patel', 'Charles Hokayem', 'Ciyata Coleman', 'Sanghun (Eric) Kim', 'Dean Plueger', 'Ethan Krohn'}",,Allowance (engineering); Tax credit; Poverty; Economics; Earned income tax credit; Labour economics; Public economics; Economic growth; Operations management,,preprint,Charles Hokayem,current population survey,True,False,False
The Privacy-Protected Gridded Environmental Impacts Frame,https://doi.org/10.1109/tii.2014.2300753,"This paper introduces the Gridded Environmental Impacts Frame (Gridded EIF), a novel privacy-protected dataset derived from the U.S. Census Bureau’s confidential Environmental Impacts Frame (EIF) microdata infrastructure. The EIF combines comprehensive administrative records and survey data on the U.S. population with high-resolution geospatial information on environmental hazards. While access to the EIF is restricted due to the confidential nature of the underlying data, the Gridded EIF offers a broader research community the opportunity to glean insights from the data while preserving confidentiality. We describe the data and privacy protection process, and offer guidance on appropriate usage, presenting practical applications.",2024,2014-01-31,4687.0,"{'Jennifer Withrow', 'Jonathan Colmer', 'John Voorheis', 'Cameron Scalera', 'Kendall Houghton', 'Mary Munro', 'Eva Lyubich'}",,Internet of Things; Computer science; Radio-frequency identification; Key (lock); Industrial Internet; Wireless; Wireless sensor network; Telecommunications; Identification (biology); Data science; Computer security; Computer network; Botany; Biology,,article,Eva Lyubich,,True,False,False
Industry Shakeouts after an Innovation Breakthrough,https://doi.org/10.1086/261934,"Conventional wisdom suggests that after a technological breakthrough, the number of active firms first surges, and then sharply declines, in what is known as a “shakeout”. This paper challenges that notion with new empirical evidence from across the U.S. economy, revealing that shakeouts are the exception, not the rule. I develop a statistical strategy to detect breakthroughs by isolating sustained anomalies in net firm entry rates, offering a robust alternative to narrative-driven approaches that can be applied to all industries. The results of this strategy, which reliably align with well-documented breakthroughs and remain consistent across various validation tests, uncover a novel trend: the number of entry-driven breakthroughs has been declining over time. The variability and frequent absence of shakeouts across breakthrough industries are consistent with breakthroughs primarily occurring in industries with low returns to scale and with modest learning curves, shifting the narrative on the nature of innovation over the past forty years in the U.S.",2024,1994-04-01,724.0,{'Xiaoyang Li'},,Industrial organization; Automotive industry; Business; Economics; Microeconomics; Business cycle; Econometrics; Macroeconomics; Engineering; Aerospace engineering,,article,Xiaoyang Li,,True,False,False
The Census Historical Environmental Impacts Frame,https://doi.org/10.1146/annurev.soc.28.110601.141107,"The Census Bureau’s Environmental Impacts Frame (EIF) is a microdata infrastructure that combines individual-level information on residence, demographics, and economic characteristics with environmental amenities and hazards from 1999 through the present day. To better understand the long-run consequences and intergenerational effects of exposure to a changing environment, we expand the EIF by extending it backward to 1940. The Historical Environmental Impacts Frame (HEIF) combines the Census Bureau’s historical administrative data, publicly available 1940 address information from the 1940 Decennial Census, and historical environmental data. This paper discusses the creation of the HEIF as well as the unique challenges that arise with using the Census Bureau’s historical administrative data.",2024,2002-07-28,4430.0,"{'Jennifer R. Withrow', 'John L. Voorheis', 'Kendall A. Houghton', 'Eva Lyubich', 'Mary Munro', 'Suvy Qin'}",,Sociology; Ethnic group; Hybridity; Identity (music); Collective identity; Value (mathematics); Social science; Social identity theory; Social group; Epistemology; Politics; Gender studies; Social psychology; Anthropology; Political science; Psychology; Philosophy; Physics; Machine learning; Acoustics; Computer science; Law,,article,Eva Lyubich,,True,False,False
The China Shock Revisited: Job Reallocation and Industry Switching in U.S. Labor Markets,https://doi.org/10.3386/w33098,"Using confidential administrative data from the U.S. Census Bureau we revisit how the rise in Chinese import penetration has reshaped U.S. local labor markets. Local labor markets more exposed to the China shock experienced larger reallocation from manufacturing to services jobs. Most of this reallocation occurred within firms that simultaneously contracted manufacturing operations while expanding employment in services. Notably, about 40% of the manufacturing job loss effect is due to continuing establishments switching their primary activity from manufacturing to trade-related services such as research, management, and wholesale. The effects of Chinese import penetration vary by local labor market characteristics. In areas with high human capital, including much of the West Coast and large cities, job reallocation from manufacturing to services has been substantial. In areas with low human capital and a high initial manufacturing share, including much of the Midwest and the South, we find limited job reallocation. We estimate this differential response to the China shock accounts for half of the 1997-2007 job growth gap between these regions.",2024,2024-11-01,0.0,"{'Nicholas Bloom', 'Nicholas  Bloom', 'André Kurmann', 'Kyle Handley', 'Philip A. Luck', 'Kyle L. Handley', 'Andre  Kurmann'}",,China; Shock (circulatory); Labour economics; Business; Job creation; Economics; Political science; Medicine; Internal medicine; Law,,report,Philip A. Luck,,True,False,False
